sweep,seed,dataset,run_name,grid_id,method,stage,scope,rank,train_head,lr,weight_decay,epochs_completed,final_train_loss,final_train_acc,final_test_loss,final_test_acc,best_train_acc,best_train_acc_epoch,best_test_acc,best_test_acc_epoch,best_test_loss,best_test_loss_epoch,best_minus_final_test_acc,final_generalization_gap,trainable_params,total_params,trainable_pct,training_time_sec,training_time_min,training_time_hr,base_checkpoint,metrics_path
food101_l40s_atrous_budget_scaling_28671171,21,food101,215_l_all_r4_h1_lr3em4_wd0p0,215,LoRA depthwise adapter,lora_dw,all,4,yes,0.0003,0.0,16,0.23644981799109935,0.9390363036303631,0.7473905385225126,0.8066138613861387,0.9390363036303631,16,0.8141386138613861,5,0.6720832030159412,5,0.00752475247524742,0.1324224422442244,1402469,29222597,4.799262023152836,6034.688104629517,100.5781350771586,1.6763022512859769,outputs/food101_l40s_atrous_budget_scaling_28671171/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_atrous_budget_scaling_28671171/seed_21/215_l_all_r4_h1_lr3em4_wd0p0/food101/lora_dw/all_rank_4/metrics.json
food101_l40s_atrous_budget_scaling_28671171,21,food101,216_l_all_r8_h1_lr1em4_wd0p0,216,LoRA depthwise adapter,lora_dw,all,8,yes,0.0001,0.0,16,0.38401779130425784,0.8968580858085808,0.6855339300868535,0.8127524752475247,0.8968580858085808,16,0.8141386138613861,12,0.672781429248281,9,0.0013861386138613874,0.08410561056105614,2727269,30547397,8.927991475018313,8475.85739850998,141.26428997516632,2.3544048329194385,outputs/food101_l40s_atrous_budget_scaling_28671171/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_atrous_budget_scaling_28671171/seed_21/216_l_all_r8_h1_lr1em4_wd0p0/food101/lora_dw/all_rank_8/metrics.json
food101_l40s_atrous_budget_scaling_28671171,21,food101,217_l_all_r8_h1_lr3em4_wd0p0,217,LoRA depthwise adapter,lora_dw,all,8,yes,0.0003,0.0,16,0.20271701829425573,0.9488316831683168,0.7667705074725765,0.8040396039603961,0.9488316831683168,16,0.8136633663366336,4,0.6739830862413538,3,0.009623762376237521,0.1447920792079207,2727269,30547397,8.927991475018313,8444.277929067612,140.7379654844602,2.345632758074337,outputs/food101_l40s_atrous_budget_scaling_28671171/seed_21/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_atrous_budget_scaling_28671171/seed_21/217_l_all_r8_h1_lr3em4_wd0p0/food101/lora_dw/all_rank_8/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,301_f_lr1e4_wd0p01,301,Full fine-tune,full_finetune,all,full,full,0.0001,0.01,25,0.026456326647461836,0.9918547854785479,0.7325305597209695,0.8627722772277228,0.9921584158415842,24,0.8664158415841584,3,0.4650863383241219,3,0.003643564356435647,0.12908250825082512,27897797,27897797,100.0,6066.527724504471,101.10879540840784,1.6851465901401308,,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/301_f_lr1e4_wd0p01/food101/full_finetune/metrics.json
food101_l40s_8q8l2f_multiseed_28650685,21,food101,302_f_lr3e5_wd0p05,302,Full fine-tune,full_finetune,all,full,full,3e-05,0.05,25,0.022966773528900773,0.9943102310231023,0.7007368540567632,0.8623762376237624,0.9943102310231023,25,0.8628514851485148,24,0.49623940964264446,6,0.00047524752475247567,0.13193399339933998,27897797,27897797,100.0,6072.350648880005,101.20584414800008,1.6867640691333348,,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650685/seed_21/302_f_lr3e5_wd0p05/food101/full_finetune/metrics.json
food101_l40s_8q8l2f_multiseed_28650684,102,food101,000_lin_lr1e3_wd0p05,000,Linear frozen-head baseline,linear_base,none,none,head_only,0.001,0.05,30,0.7371759219122405,0.802046204620462,0.7733788843863081,0.7824158415841584,0.802046204620462,30,0.7865742574257426,21,0.7637930628096703,25,0.004158415841584162,0.01963036303630361,77669,27897797,0.2784054956023947,4347.3228878974915,72.4553814649582,1.2075896910826365,,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650684/seed_102/000_lin_lr1e3_wd0p05/food101/linear_base/metrics.json
food101_l40s_atrous_budget_scaling_28671170,102,food101,000_lin_lr1e3_wd0p05,000,Linear frozen-head baseline,linear_base,none,none,head_only,0.001,0.05,30,0.7371759219122405,0.802046204620462,0.7733788843863081,0.7824158415841584,0.802046204620462,30,0.7865742574257426,21,0.7637930628096703,25,0.004158415841584162,0.01963036303630361,77669,27897797,0.2784054956023947,5491.446866035461,91.52411443392435,1.5254019072320726,,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_atrous_budget_scaling_28671170/seed_102/000_lin_lr1e3_wd0p05/food101/linear_base/metrics.json
food101_l40s_8q8l2f_multiseed_28650684,102,food101,109_q_all_r2_h1_lr1em4_wd0p0_k3d3,109,Quadratic depthwise adapter,quad_dw,all,2,yes,0.0001,0.0,16,0.5895373883987024,0.8383894389438944,0.7041566200610435,0.8015445544554456,0.8383894389438944,16,0.8022970297029703,14,0.7041566200610435,16,0.0007524752475247531,0.036844884488448804,316133,28136261,1.1235785735709518,4835.576905965805,80.59294843276342,1.3432158072127236,outputs/food101_l40s_8q8l2f_multiseed_28650684/seed_102/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650684/seed_102/109_q_all_r2_h1_lr1em4_wd0p0_k3d3/food101/quad_dw/all_rank_2/quad_k3_d3/metrics.json
food101_l40s_8q8l2f_multiseed_28650684,102,food101,110_q_all_r2_h1_lr3em4_wd0p0_k3d3,110,Quadratic depthwise adapter,quad_dw,all,2,yes,0.0003,0.0,16,0.5093266815588419,0.8592871287128713,0.6973439324114582,0.8077227722772278,0.8592871287128713,16,0.8078415841584159,14,0.6957539651181438,13,0.00011881188118811892,0.0515643564356435,316133,28136261,1.1235785735709518,4832.902492046356,80.54837486743926,1.342472914457321,outputs/food101_l40s_8q8l2f_multiseed_28650684/seed_102/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650684/seed_102/110_q_all_r2_h1_lr3em4_wd0p0_k3d3/food101/quad_dw/all_rank_2/quad_k3_d3/metrics.json
food101_l40s_8q8l2f_multiseed_28650684,102,food101,111_q_all_r2_h1_lr3em5_wd0p0_k3d3,111,Quadratic depthwise adapter,quad_dw,all,2,yes,3e-05,0.0,16,0.6326320404597241,0.8278283828382839,0.7129242868801154,0.8002376237623763,0.8279207920792079,15,0.8002376237623763,16,0.7129242868801154,16,0.0,0.027590759075907578,316133,28136261,1.1235785735709518,4834.435300588608,80.5739216764768,1.3428986946079466,outputs/food101_l40s_8q8l2f_multiseed_28650684/seed_102/000_lin_lr1e3_wd0p05/food101/linear_base/model.pt,/Users/haseebshafi/Documents/GitHub/Quadratic-Neurons-vs.-ReLU-How-Much-Nonlinearity-Is-Enough/Haseeb_trials/5_test/data_5seed_5/food101_l40s_8q8l2f_multiseed_28650684/seed_102/111_q_all_r2_h1_lr3em5_wd0p0_k3d3/food101/quad_dw/all_rank_2/quad_k3_d3/metrics.json
